=== ニュース ===
date,text,tag,content
2025.10.21,事務スタッフさん募集終了,お知らせ,"このたび募集しておりました事務員の採用につきまして、当初は令和7年10月15日を応募期限としておりましたが、多数のご応募を賜りましたため、期日前に受付を終了させていただくこととなりました。
ご応募くださいました皆さまに、心より感謝申し上げます。
今後の採用情報につきましては、当ホームページにて随時ご案内いたします。"
2025.09.23,【近鉄バス】あさひ募集広告バス、町を走行中！,広報,"側面（横一面）にラッピングされたあさひ募集広告バスが市内を走行してます。
後方（後ろ一面）に広告が掲載されているバスも走行中です。
見かけた方は、ぜひ写真や動画を撮ってシェアしてください📸"

=== スライダー ===
url_pc,url_mobile,label
https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?ixlib=rb-4.0.3&auto=format&fit=crop&w=1600&q=80,,安心と笑顔を届ける、居宅・訪問介護の専門チーム
https://images.unsplash.com/photo-1576091160550-2173dba999ef?ixlib=rb-4.0.3&auto=format&fit=crop&w=1600&q=80,,AIと最新ツールを活用し、介護の現場をもっと効率的に。
https://images.unsplash.com/photo-1581056771107-24ca5f033842?ixlib=rb-4.0.3&auto=format&fit=crop&w=1600&q=80,,思いやりが行き交う、介護の現場

=== 統計データ ===
category,key,value
平均年収,,600
平均年収注釈,,※業界平均 350〜400万円
従業員数,,127
利用者数,,484
バイク台数,,60
バイク内訳,,125cc 30台 / 電動自転車 10台 / 他原付 20台
男女比率_社員,男,54
男女比率_社員,女,46
男女比率_ヘルパー,男,20
男女比率_ヘルパー,女,80
訪問エリア,東大阪,67
訪問エリア,大東,9
訪問エリア,大阪,9
訪問エリア,他,16
