=== 会社情報 ===
key,value
法人名,株式会社 旭
事業所名,ライフサポートあさひ
郵便番号,〒577-0011
住所,大阪府東大阪市荒本北2丁目5-5
電話番号,06-6746-7800
FAX番号,06-6746-7801
メールアドレス,hirayamakodai@asahi4649.com
事業内容1,障害福祉サービス（居宅介護、重度訪問介護、移動支援）
事業内容2,介護保険サービス（訪問介護、介護予防訪問介護）
挨拶文1,平素より温かいご支援を賜り、心より御礼申し上げます。「ライフサポートあさひ」は、地域の皆様に支えていただき、おかげさまで10年を迎えることができました。スタッフ一人ひとりの真摯な姿勢、そして皆様の励ましのお言葉に支えられ、今日まで歩んでまいりましたことに深く感謝いたします。
挨拶文2,私たちは"人の手で行う介護の温かさ"をこれからも大切にしてまいります。その一方で、事務作業や記録業務など、負担の大きい部分については"生成AIやデジタルツールを活用することで効率化"を図っております。
挨拶文3,こうした取り組みは、スタッフが利用者様の気持ちに寄り添う時間を増やし、"人にしかできないケア"により一層取り組める環境づくりにつながっています。
挨拶文4,今後とも、皆様に安心していただける事業所を目指し精進してまいりますので、変わらぬご愛顧のほどお願い申し上げます。

=== 沿革 ===
date,content
平成27年10月,株式会社 旭 設立 (2015.10.21)
平成28年1月,"ライフサポートあさひ開業 (2016.1.1 大東市灰塚)
居宅/同行/重度/訪問介護/介護予防指定"
平成28年2月,大東/四條畷/東大阪/大阪市移動支援指定
平成28年12月,ライフサポートあさひ運営指導(訪問介護)
平成30年8月,東大阪市岩田町に休憩所設置
平成30年10月,八尾市移動支援指定
令和1年8月,事業所を大東市御領へ移転
令和2年7月,ライフサポートあさひ若江open
令和2年8月,ライフサポートあさひ加納open
令和2年11月,ICT化に向けての取り組み開始
令和3年2月,ケアウイング始動
令和3年5月,オンライン研修/お茶の水ケアサービス
令和3年6月,灰塚研修施設閉鎖（オンライン研修切替の為）
令和4年3月,ライフサポートあさひ若江3/1若江本町へ移転
令和4年4月,ライフサポートあさひ加納4/中旬より統合
令和5年1月,ライフサポートあさひ布施新規オープン
令和5年4月,オンライン研修ジョブメドレーアカデミー開始
